course_name|url|level|description
Software Development Process|https://www.udacity.com/course/software-development-process--ud805|Intermediate|Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.
Software Architecture & Design|https://www.udacity.com/course/software-architecture-design--ud821|Intermediate|Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.
Artificial Intelligence for Robotics|https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373|Advanced|Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control.
Introduction to Computer Vision|https://www.udacity.com/course/introduction-to-computer-vision--ud810|Intermediate|This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.
Educational Technology|https://www.udacity.com/course/educational-technology--ud915|Beginner|This class is an an introductory course about educational technology offered as CS6460 at Georgia Tech where it is a part of the Online Masters Degree (OMS).
Reinforcement Learning|https://www.udacity.com/course/reinforcement-learning--ud600|Advanced|Study machine learning at a deeper level and become a participant in the reinforcement learning research community.
Linear Algebra Refresher Course|https://www.udacity.com/course/linear-algebra-refresher-course--ud953|Intermediate|Learn linear algebra by doing: you will code your own library of linear algebra functions!
Data Wrangling with MongoDB|https://www.udacity.com/course/data-wrangling-with-mongodb--ud032|Intermediate|Data Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need.
Model Building and Validation|https://www.udacity.com/course/model-building-and-validation--ud919|Advanced|This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.
Intro to the Design of Everyday Things|https://www.udacity.com/course/intro-to-the-design-of-everyday-things--design101|Beginner|This course will provide you with the insight to start recognizing the role of design in today’s world, and to start making better design decisions in your own life.
Website Performance Optimization|https://www.udacity.com/course/website-performance-optimization--ud884|Intermediate|Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!
Make Your Own 2048|https://www.udacity.com/course/make-your-own-2048--ud248|Beginner|Ten minutes into this class you'll make your own completely personalized version of the insanely addictive game 2048. Even if you've never coded before. Pretty cool, no?
Applied Cryptography|https://www.udacity.com/course/applied-cryptography--cs387|Advanced|Cryptography is present in everyday life, from paying with a credit card to using the telephone.  Learn all about making and breaking puzzles in computing.
Intro to Statistics|https://www.udacity.com/course/intro-to-statistics--st101|Beginner|Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged.
Intro Algebra Review|https://www.udacity.com/course/intro-algebra-review--ma004|Beginner|A brief review of introductory algebra topics including integer operations, scientific notation, algebraic expressions, linear equations, and graphing.
College Algebra|https://www.udacity.com/course/college-algebra--ma008|Beginner|Gain an in-depth understanding of algebraic principles and learn how to use them to solve problems you may meet in everyday life.
Visualizing Algebra|https://www.udacity.com/course/visualizing-algebra--ma006|Beginner|Learn the basics of Algebra through intuition and problem solving! From fractions to factors to functions, we’ll cover a breadth of topics.
Software Testing|https://www.udacity.com/course/software-testing--cs258|Intermediate|Learn how to catch bugs and break software as you discover different testing methods that will help you build better software.
